Queries,Clicks,Impressions,CTR,Position
cascadetabnet,12,980,1.22%,7.85
neural networks from scratch sentdex pdf,8,86,9.3%,8.99
midv-2020,7,309,2.27%,5.55
tinyol,7,108,6.48%,9.85
signgan,7,95,7.37%,6.74
"learning graph structures with transformer for multivariate time series 
anomaly detection in iot",6,165,3.64%,7.52
multi-model machine learning inference serving with gpu spatial partitioning,6,50,12%,2.62
cascade tabnet,5,216,2.31%,4.19
transformerfusion: monocular rgb scene reconstruction using transformers,5,146,3.42%,6.01
cascade tab net,5,101,4.95%,3.66
autodis github,5,75,6.67%,5.67
graph neural network coursera,5,57,8.77%,11.28
neural networks from scratch sentdex pdf free,5,14,35.71%,10.93
spatial dual-modality graph reasoning for key information extraction,4,236,1.69%,6.79
"an experimental review on deep learning architectures for time series 
forecasting",4,193,2.07%,5.96
"opportunities and challenges in explainable artificial intelligence (xai): 
a survey",4,156,2.56%,7.95
fuzzing hardware like software,4,90,4.44%,5.56
neuroscience-inspired perception-action in robotics,4,24,16.67%,3.88
unsupervised domain adaptation by backpropagation,3,283,1.06%,11.8
dobf,3,173,1.73%,9.55
"a transformer-based framework for multivariate time series representation 
learning",3,127,2.36%,11.61
bias and debias in recommender system: a survey and future directions,3,123,2.44%,9.14
"knowledge distillation and student-teacher learning for visual 
intelligence: a review and new outlooks",3,111,2.7%,9.61
boosting masked face recognition with multi-task arcface,3,98,3.06%,6.41
facial expression retargeting from human to avatar made easy,3,95,3.16%,8.18
animating pictures with eulerian motion fields github,3,91,3.3%,7.73
intelligence and learning in o-ran for data-driven nextg cellular networks,3,79,3.8%,5.51
extractor: extracting attack behavior from threat reports,3,77,3.9%,6.74
"intra-document cascading: learning to select passages for neural document 
ranking",3,72,4.17%,5.19
"neuralpde: automating physics-informed neural networks (pinns) with error 
approximations",3,60,5%,5.07
explaining latent representations with a corpus of examples,3,46,6.52%,6.17
towards fully automated manga translation,3,43,6.98%,8.51
"when federated learning meets blockchain: a new distributed learning 
paradigm",3,37,8.11%,7.76
radar camera fusion via representation learning in autonomous driving,3,32,9.38%,8.31
"revisiting binary code similarity analysis using interpretable feature 
engineering and lessons learned",3,26,11.54%,8.15
3d-talkemo: learning to synthesize 3d emotional talking head,3,23,13.04%,4.04
machine knowledge,3,13,23.08%,4.92
copula-based outlier detection,3,8,37.5%,12.38
transformerfusion,2,262,0.76%,7.34
"autoprompt: eliciting knowledge from language models with automatically 
generated prompts",2,243,0.82%,9.14
nxtf,2,218,0.92%,4.47
high quality monocular depth estimation via transfer learning,2,161,1.24%,9.02
med3d: transfer learning for 3d medical image analysis,2,147,1.36%,7.79
physics-informed neural networks (pinns) for fluid mechanics: a review,2,139,1.44%,7.59
pixel-bert: aligning image pixels with text by deep multi-modal transformers,2,98,2.04%,8.92
